function,category,n=100,n=1000,n=10000,n=100000,n=1000000,n=10000000,n=100000000
1/n,0,-2.000000,-3.000000,-4.000000,-5.000000,-6.000000,-7.000000,-8.000000
log2(n),1,0.822420,0.998511,1.123454,1.220360,1.299541,1.366488,1.424482
12*sqrt(n),2,1.579181,2.079181,2.579181,3.079181,3.579181,4.079181,4.579181
50*n^0.5,2,2.698970,3.198970,3.698970,4.198970,4.698970,5.198970,5.698970
n^0.51,2,1.020000,1.530000,2.040000,2.550000,3.060000,3.570000,4.080000
(2^32)*n,2,11.933363,12.933363,13.933363,14.933363,15.933363,16.933363,17.933363
n*log2(n),3,2.822420,3.998511,5.123454,6.220360,7.299541,8.366488,9.424482
100*n^2+6*n,2,6.000260,8.000026,10.000003,12.000000,14.000000,16.000000,18.000000
n^2-324,2,3.985875,5.999859,7.999999,10.000000,12.000000,14.000000,16.000000
2*n^3,2,6.301030,9.301030,12.301030,15.301030,18.301030,21.301030,24.301030
n^(log2 n),4,13.287712,29.897353,53.150850,83.047048,119.589411,162.778219,212.613642
3^n,5,47.712125,477.121255,4771.212547,47712.125471,477121.254720,4771212.547196,47712125.471966
